lang	label	rule	shortcuts
de	R1	Wikipedia:Grundprinzipien	['Wikipedia:Grundprinzipien', 'Wikipedia:GP', 'WP:Grundprinzipien', 'WP:GP']	
de	R2	Wikipedia:Ignoriere alle Regeln	['Wikipedia:Ignoriere alle Regeln', 'Wikipedia:IAR', 'WP:Ignoriere alle Regeln', 'WP:IAR']	
de	R3	Wikipedia:Neutraler Standpunkt	['Wikipedia:Neutraler Standpunkt', 'Wikipedia:NPOV', 'Wikipedia:NNPOV', 'Wikipedia:N', 'WP:Neutraler Standpunkt', 'WP:NPOV', 'WP:NNPOV', 'WP:N']	
de	R4	Wikipedia:Keine Theoriefindung	['Wikipedia:Keine Theoriefindung', 'Wikipedia:KTF', 'Wikipedia:TF', 'Wikipedia:NOR', 'Wikipedia:OR', 'Wikipedia:Begriffsfindung', 'WP:Keine Theoriefindung', 'WP:KTF', 'WP:TF', 'WP:NOR', 'WP:OR', 'WP:Begriffsfindung']	
de	R5	Wikipedia:Belege	['Wikipedia:Belege', 'Wikipedia:BLG', 'Wikipedia:QA', 'Wikipedia:WPIKQ', 'Wikipedia:BLG#NPOV', 'WP:Belege', 'WP:BLG', 'WP:QA', 'WP:WPIKQ', 'WP:BLG#NPOV']	
de	R6	Wikipedia:Artikel über lebende Personen	['Wikipedia:Artikel über lebende Personen', 'Wikipedia:BIO', 'Wikipedia:PR', 'Wikipedia:BLP', 'WP:Artikel über lebende Personen', 'WP:BIO', 'WP:PR', 'WP:BLP']	
de	R7	Wikipedia:Geh von guten Absichten aus	['Wikipedia:Geh von guten Absichten aus', 'Wikipedia:AGF', 'Wikipedia:GGAA', 'Wikipedia:GGA', 'Wikipedia:GVGAA', 'Wikipedia:UGA', 'WP:Geh von guten Absichten aus', 'WP:AGF', 'WP:GGAA', 'WP:GGA', 'WP:GVGAA', 'WP:UGA']	
de	R8	Wikipedia:Sei mutig	['Wikipedia:Sei mutig', 'Wikipedia:SM', 'Wikipedia:MUT', 'WP:Sei mutig', 'WP:SM', 'WP:MUT']	
de	R9	Wikipedia:Zitierregeln	['Wikipedia:Zitierregeln', 'Wikipedia:ZR', 'WP:Zitierregeln', 'WP:ZR']	
de	R10	Wikipedia:Wikiquette	['Wikipedia:Wikiquette', 'Wikipedia:WQ', 'WP:Wikiquette', 'WP:WQ']	
de	R11	Wikipedia:Keine persönlichen Angriffe	['Wikipedia:Keine persönlichen Angriffe', 'Wikipedia:KPA', 'Wikipedia:PA', 'Wikipedia:NPA', 'WP:Keine persönlichen Angriffe', 'WP:KPA', 'WP:PA', 'WP:NPA']	
de	R12	Wikipedia:Relevanzkriterien	['Wikipedia:Relevanzkriterien', 'Wikipedia:RK', 'Wikipedia:REL', 'WP:Relevanzkriterien', 'WP:RK', 'WP:REL']	
de	R13	Wikipedia:Verhalten gegenüber Neulingen	['Wikipedia:Verhalten gegenüber Neulingen', 'Wikipedia:VGN', 'WP:Verhalten gegenüber Neulingen', 'WP:VGN']	
de	R14	Wikipedia:Was Wikipedia nicht ist	['Wikipedia:Was Wikipedia nicht ist', 'Wikipedia:WWNI', 'Wikipedia:NICHT', 'WP:Was Wikipedia nicht ist', 'WP:WWNI', 'WP:NICHT']	
de	R15	Wikipedia:Störe Wikipedia nicht, um etwas zu beweisen	['Wikipedia:Störe Wikipedia nicht, um etwas zu beweisen', 'Wikipedia:SWN', 'Wikipedia:BNS', 'Wikipedia:ABM', 'WP:Störe Wikipedia nicht, um etwas zu beweisen', 'WP:SWN', 'WP:BNS', 'WP:ABM']	
en	R1	Wikipedia:Five pillars	['Wikipedia:Five pillars', 'Wikipedia:5P', 'Wikipedia:PILLARS', 'Wikipedia:5P1', 'Wikipedia:5P2', 'Wikipedia:5P3', 'Wikipedia:5P4', 'Wikipedia:5P5', 'WP:Five pillars', 'WP:5P', 'WP:PILLARS', 'WP:5P1', 'WP:5P2', 'WP:5P3', 'WP:5P4', 'WP:5P5']	
en	R2	Wikipedia:Ignore all rules	['Wikipedia:Ignore all rules', 'Wikipedia:IAR', 'Wikipedia:IGNORE', 'WP:Ignore all rules', 'WP:IAR', 'WP:IGNORE', 'w.wiki/i']	
en	R3	Wikipedia:Neutral point of view	['Wikipedia:Neutral point of view', 'Wikipedia:NPOV', 'Wikipedia:NPV', 'Wikipedia:POV', 'Wikipedia:NEUTRAL', 'Wikipedia:YESPOV', 'Wikipedia:WIKIVOICE', 'Wikipedia:VOICE', 'Wikipedia:NPOVHOW', 'Wikipedia:ACHIEVE NPOV', 'Wikipedia:POVNAMING', 'Wikipedia:STRUCTURE', 'Wikipedia:WEIGHT', 'Wikipedia:DUE', 'Wikipedia:UNDUE', 'Wikipedia:BALASP', 'Wikipedia:PROPORTION', 'Wikipedia:PROPORTIONAL', 'Wikipedia:MINORASPECT', 'Wikipedia:GEVAL', 'Wikipedia:VALID', 'Wikipedia:FALSEBALANCE', 'Wikipedia:BESTSOURCES', 'Wikipedia:BALANCE', 'Wikipedia:BALANCED', 'Wikipedia:IMPARTIAL', 'Wikipedia:AESTHETIC', 'Wikipedia:SUBJECTIVE', 'Wikipedia:SUBSTANTIATE', 'Wikipedia:ATTRIBUTEPOV', 'Wikipedia:NPOVFACT', 'Wikipedia:NPOVVIEW', 'Wikipedia:MNA', 'Wikipedia:PSCI', 'Wikipedia:TINFOILHAT', 'Wikipedia:PSEUDOSCIENCE', 'Wikipedia:RNPOV', 'WP:Neutral point of view', 'WP:NPOV', 'WP:NPV', 'WP:POV', 'WP:NEUTRAL', 'WP:YESPOV', 'WP:WIKIVOICE', 'WP:VOICE', 'WP:NPOVHOW', 'WP:ACHIEVE NPOV', 'WP:POVNAMING', 'WP:STRUCTURE', 'WP:WEIGHT', 'WP:DUE', 'WP:UNDUE', 'WP:BALASP', 'WP:PROPORTION', 'WP:PROPORTIONAL', 'WP:MINORASPECT', 'WP:GEVAL', 'WP:VALID', 'WP:FALSEBALANCE', 'WP:BESTSOURCES', 'WP:BALANCE', 'WP:BALANCED', 'WP:IMPARTIAL', 'WP:AESTHETIC', 'WP:SUBJECTIVE', 'WP:SUBSTANTIATE', 'WP:ATTRIBUTEPOV', 'WP:NPOVFACT', 'WP:NPOVVIEW', 'WP:MNA', 'WP:PSCI', 'WP:TINFOILHAT', 'WP:PSEUDOSCIENCE', 'WP:RNPOV']	
en	R4	Wikipedia:No original research	['Wikipedia:No original research', 'Wikipedia:OR', 'Wikipedia:NOR', 'Wikipedia:ORIGINAL', 'Wikipedia:STICKTOSOURCE', 'Wikipedia:PST', 'Wikipedia:PSTS', 'Wikipedia:PRIMARY', 'Wikipedia:SECONDARY', 'Wikipedia:TERTIARY', 'Wikipedia:SYN', 'Wikipedia:SYNTH', 'Wikipedia:SYNTHESIS', 'Wikipedia:OI', 'Wikipedia:IMAGEOR', 'Wikipedia:TRANSCRIPTION', 'Wikipedia:CALC', 'Wikipedia:Routine calculation', 'Wikipedia:VERIFYOR', 'WP:No original research', 'WP:OR', 'WP:NOR', 'WP:ORIGINAL', 'WP:STICKTOSOURCE', 'WP:PST', 'WP:PSTS', 'WP:PRIMARY', 'WP:SECONDARY', 'WP:TERTIARY', 'WP:SYN', 'WP:SYNTH', 'WP:SYNTHESIS', 'WP:OI', 'WP:IMAGEOR', 'WP:TRANSCRIPTION', 'WP:CALC', 'WP:Routine calculation', 'WP:VERIFYOR']	
